node_id,building_density,mean_centroid_distance,poi_density,degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency
0,0.0,0.0,0.0,4.0,0.0003512507690284,0.0036256715906448,0.0092842512160789,0.0002967814993769,2.25,0.0,0.0
1,0.1161449044813132,121.21373518398568,0.0,1.0,0.0003289697600761,0.0,0.0091426071933227,0.0002523670598486,4.0,0.0,0.0
2,0.0,0.0,6.862354298920999e-05,1.0,0.0003469309502358,0.0,0.0096417780177681,0.0002523670598486,4.0,0.0,0.0
3,0.0066884917079145,0.0,0.0,1.0,0.0003302175279018,0.0,0.0093718694842312,0.0002259764188194,2.0,0.0,0.0
4,0.0,0.0,0.0,2.0,0.0003461674554644,0.0018143656145589,0.0093538726810266,0.0002609439571181,2.0,0.0,0.0
5,0.3938923255699715,112.90579937220984,0.0,3.0,0.0003630107754796,0.004124392661763,0.0093170934376362,0.0003085238509223,2.6666666666666665,0.0,0.0
6,0.94651250291427,14.525080421177064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5208084740159664,102.21378682726782,0.0002087641752007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,3.0,0.0003495273639883,0.0107944045331603,0.0090455574943747,0.0002946530103554,3.0,0.0,0.0
9,0.1273481984589055,82.18414581314026,0.0001772651447547,4.0,0.0003675041594413,0.0139641899913106,0.0092293470740347,0.0003295964388415,3.25,0.0,0.0
10,0.5400009661434718,96.97168119604554,3.698927639621683e-05,2.0,0.0004190459947454,4.283493862365223e-05,0.0098358076930949,0.0003221390236216,2.0,0.0,0.0
11,0.5392491861947205,57.66313147139219,0.000171357918111,2.0,0.0004112669078199,0.0003732758937203,0.0100115475606298,0.000325134741523,2.5,0.0,0.0
12,0.1842386468064131,109.98206159321872,0.0,2.0,0.0004202805334492,0.001477805382516,0.0094311465806276,0.0003410187887821,3.0,0.0,0.0
13,0.1975592135316128,43.69854227364435,0.0001343072265298,4.0,0.0004738171723501,0.0241068915296968,0.0100208767942792,0.0003906146569443,3.5,0.0,0.0
14,0.4902851850688632,59.16318761169827,0.0,2.0,0.0003874392116725,0.0029494914880857,0.0101039788377392,0.0003073336987533,3.5,0.0,0.0
15,0.591049382034735,73.86353502550816,0.0001648309614601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.2398972702770355,118.62873125743042,1.7179743113054367e-05,2.0,0.0003395792943832,0.0,0.0087094684087203,0.0003064978064357,3.5,0.0,0.0
17,0.5388304019885027,70.84519119912983,0.000108950807612,4.0,0.0003566693379044,0.0,0.0087143624458689,0.0003104110254458,2.25,0.0,0.2777777777777778
18,0.2218890250880324,91.83371673512016,2.1518592937443945e-05,3.0,0.0003880262952595,0.0018113059760858,0.0097776498678882,0.0003297503336635,2.6666666666666665,0.0,0.0
19,0.4375372111778101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.3150799494500527,38.59452956244506,0.0,4.0,0.0004174013513773,0.0090198142187519,0.0100852734177317,0.0003480183332854,2.5,0.0,0.0
21,0.6343733368737676,36.214878142420126,0.0,2.0,0.0004030096455359,0.0054247390128382,0.0102799521194798,0.0002889829435739,3.0,0.0,0.0
22,0.5832803101220904,31.523943146388667,0.0,2.0,0.0003863525622025,0.0036226119521717,0.0103768287140068,0.0002469494432983,2.0,0.0,0.0
23,0.2576314719490521,59.82261003693532,0.0,3.0,0.0003656101329637,0.0129851056799128,0.0089797535884801,0.0003210237946702,3.333333333333333,0.0,0.0
24,0.4805550084226224,73.8416298159247,0.0,3.0,0.0003949524231437,0.0147382785250094,0.0095401445324622,0.0003425627478002,3.6666666666666665,0.0,0.0
25,0.2468565874894631,16.905096514631126,0.0,4.0,0.0003906895661197,0.0063242727239349,0.0098053452156633,0.0003259804581877,1.75,0.0,0.0
26,0.5590195494060505,86.3754521815037,0.0,1.0,0.0003859526032898,0.0,0.0102112234445846,0.0002731741445366,4.0,0.0,0.0
27,0.5490242413914354,78.37726198482406,9.908247699616027e-05,2.0,0.0003713062778648,0.0018143656145589,0.0104758565255362,0.0002154981139837,1.5,0.0,0.0
28,0.3593496351207737,42.3317009473963,0.0,4.0,0.0003770374260104,0.00492601794172,0.0091999051136255,0.0003562814883649,2.75,0.0,0.0
29,0.5718728042231646,123.1872744716138,3.6500113586603176e-05,2.0,0.0003619637449378,0.0,0.0091748601135747,0.0003303098495944,3.5,0.0,0.0
30,0.0,0.0,0.0,3.0,0.0003614172238979,0.0023803987320858,0.0090673668687099,0.0003461386193661,3.0,0.0,0.0
31,0.0,0.0,0.0,3.0,0.0003763022513635,0.0042375992852684,0.0092000853744752,0.0003515561263874,3.333333333333333,0.0,0.0
32,0.0249515928552075,0.0,0.0002279875415996,4.0,0.0003494748891967,0.0152584170654395,0.0083150224140466,0.0003524188297926,3.0,0.0,0.0
33,0.2686498764189548,67.89367460862559,0.0,2.0,0.0003461330821978,0.0030718770270104,0.0086966108577694,0.0003082904069319,3.0,0.0,0.0
34,0.2419222653184229,75.97866253439669,0.0,2.0,0.0003350402552833,0.0016216083907525,0.008857311731298,0.0002867436568342,2.0,0.0,0.0
35,0.0033554857774722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.2007815154774029,56.88725643824786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.2842344991531336,101.76435729406263,2.8101434570975997e-05,2.0,0.0003259923960237,0.0005415560097418,0.0090254786054365,0.0002802097849262,2.5,0.0,0.0
38,0.0101164985975503,0.0,0.0,1.0,0.0003587813273891,0.0,0.0106103042279635,0.0001910799360422,2.0,0.0,0.0
39,0.0,0.0,0.0,2.0,0.0004041855909998,0.0003487987859354,0.0101764979695613,0.0003239893930831,4.0,0.0,0.0
40,0.2756151322349883,30.283646901323223,0.0,2.0,0.0004102984353341,0.0074869353437197,0.0101582480992113,0.0003216390356141,3.5,0.0,0.0
41,0.0,0.0,0.0,3.0,0.0003309668817902,0.0026037523406234,0.0092732373511802,0.0002867258003546,2.0,0.0,0.0
42,0.0,0.0,0.0001746978704594,4.0,0.0004068269338521,0.044126106059308,0.0091721546430059,0.0003745421439341,3.5,0.0,0.0
43,0.0,0.0,0.0,3.0,0.0003422107322132,0.0095613702284938,0.0085909998791658,0.0003111215764437,3.6666666666666665,0.0,0.0
44,0.0992089429360646,67.60229992841859,0.0,2.0,0.0003285363227666,0.0090106353033325,0.0089414868560828,0.0002514570398494,2.5,0.0,0.0
45,0.4245511320519398,61.77667356743456,0.0001145382939224,4.0,0.0004161851220851,0.0121834803999559,0.0096665528091191,0.0003534269257437,3.25,0.0,0.0
46,0.4265801201376588,80.52746753687994,0.0,3.0,0.0004122686926986,0.0104915003243216,0.0094744436721234,0.0003506206486578,3.333333333333333,0.0,0.0
47,0.4667016628942004,31.13780962919704,0.0,3.0,0.0004166221778225,0.0200834669375466,0.0097703188238396,0.0003469952019045,2.6666666666666665,0.0,0.0
