node_id,building_density,mean_centroid_distance,poi_density,degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency
0,0.0,0.0,5.605294482036693e-05,3.0,0.0006186944863054,0.0,0.0115901481976623,0.0003151792261503,1.6666666666666667,0.0,0.5
1,0.0,0.0,0.0,2.0,0.0006251605757218,0.0029783693843594,0.0110142099282936,0.0003793917523703,3.0,0.0,0.0
2,0.0,0.0,0.0,3.0,0.000667042410536,0.0071325568496949,0.0110110946691606,0.0004760096057527,2.6666666666666665,0.0,0.0
3,0.0,0.0,0.0,3.0,0.0005191672148112,0.0,0.0098022183152932,0.0003648481968317,1.6666666666666667,0.0,0.5
4,0.0,0.0,0.0,2.0,0.0005285155663348,0.0029783693843594,0.0093894138089653,0.0004537481054695,4.5,0.0,0.0
5,0.0049594857990353,0.0,5.866560014707304e-05,2.0,0.0006506512600386,0.0005657237936772,0.0104311393763007,0.0004908183948361,3.0,0.0,0.0
6,0.0506569708876386,74.89321493542568,0.0,3.0,0.0006524596063344,0.0025457570715474,0.0102609802382652,0.0005379967392547,2.6666666666666665,0.0,0.0
7,0.017281403176353,0.0,0.0,3.0,0.0006718139142822,0.0121464226289517,0.0103630900868241,0.0005120492641143,2.6666666666666665,0.0,0.0
8,0.0,0.0,0.0,1.0,0.0005321856261957,0.0,0.0101209462913253,0.0003363509638238,2.0,0.0,0.0
9,0.198441229890865,94.51284108333424,0.0,2.0,0.0006174941432315,0.0029783693843594,0.0110547972535912,0.0004104947103422,2.5,0.0,0.0
10,0.0110429841049393,0.0,0.0002044557932476,1.0,0.0005860559410261,0.0,0.011073639623091,0.0003166516805374,3.0,0.0,0.0
11,0.5377792890909739,23.690511308059264,0.0,3.0,0.0006027675856024,0.0031669439822518,0.0107173090481885,0.0003815273331846,2.0,0.0,0.0
12,0.0,0.0,0.0,4.0,0.0006241678371579,0.0001608430393788,0.010456279806196,0.0005513510512776,3.5,0.0004536587416023,0.0
13,0.2099848597519433,98.8038996385255,2.735370133177606e-05,3.0,0.0006454092609401,0.0012423738214087,0.0105373981298019,0.0005676221664597,3.0,0.0,0.0
14,0.0,0.0,0.0,2.0,0.0006251343665403,0.0008707709373266,0.0104789615759493,0.0005305851404995,4.0,0.0,0.0
15,0.2477884026803,0.0,0.0,3.0,0.0006859203824657,0.0041930116472545,0.0106803868306634,0.0006150554386197,3.0,0.0,0.0
16,0.2389938478214941,0.0,0.0,3.0,0.0006166912143663,0.0090460343871325,0.0102849309852958,0.0004106252902839,2.6666666666666665,0.0,0.0
17,0.0130939653235459,0.0,5.6855324953929965e-05,1.0,0.0005716061924584,0.0,0.0101703755177831,0.0003364386279162,3.0,0.0,0.0
18,0.0,0.0,0.0,4.0,0.0006241415390569,0.0087465335551858,0.0104804625711306,0.0005260154113348,3.25,0.0004536587416023,0.0
19,0.12224407292563,97.29320144454265,0.00020015838585,2.0,0.0006205465296623,0.0,0.0110836731462445,0.0004850836309677,4.0,0.001583581001705,0.0
20,0.0,0.0,0.0,5.0,0.0006269092925888,0.018416528008874,0.0098643671665757,0.0006032433584085,3.2,0.0001138371447909,0.0
21,0.1658447980969327,0.0,8.22695101014248e-05,6.0,0.0005946636118516,0.0179312257348863,0.0099039810644825,0.0005992093010033,2.5,0.0010718538762513,0.0
22,0.0,0.0,0.0,2.0,0.0005358894468007,0.0004437049362174,0.0087248220746371,0.0005648728019925,5.5,0.0,0.0
23,0.075007309595419,0.0,0.0001169451872547,4.0,0.0006922906066384,0.0229229062673322,0.0104058350236142,0.0006345975405518,3.25,0.0,0.0
24,0.0,0.0,0.0,3.0,0.0006749460000148,0.0031724902939545,0.0106776805117458,0.0004935777495156,2.6666666666666665,0.0,0.0
25,0.0255242244611127,0.0,0.0001146918299704,3.0,0.0006621623907799,0.0019079312257348,0.0105469385010687,0.00057338043551,3.0,0.0,0.0
26,0.1188438623906579,0.0,0.0,3.0,0.0006779385473113,0.0089073765945646,0.0102407849599436,0.0005487408919661,3.0,0.0,0.0
27,0.2319761426262677,42.893233069016816,0.0002510660257804,3.0,0.0006799274505963,0.0190016638935108,0.0098882316795307,0.0005445709393109,3.0,0.0,0.0
28,0.0,0.0,0.0,3.0,0.0007106793066604,0.0252468108707709,0.0098116020117915,0.0005646943550165,3.333333333333333,0.0,0.0
29,0.0,0.0,0.0001857854000312,2.0,0.0006113309398881,3.327787021630616e-05,0.0102234604735478,0.0003812954302534,2.5,0.0,0.0
30,0.0,0.0,0.0,2.0,0.0006179517838712,0.0028008874098724,0.0096554165619332,0.0004101566870054,2.5,0.0,0.0
31,0.0202738015577418,0.0,0.0,3.0,0.0006830233156244,0.0046921797004991,0.0104934543362298,0.0006099031378672,3.0,0.0,0.0
32,0.0571620423330558,0.0,0.0,3.0,0.0006889964045754,0.0082861896838602,0.0105551771646596,0.0005703523074428,3.0,0.0,0.0
33,0.0,0.0,0.0,3.0,0.0006351469126539,0.00573488630061,0.0092237970791173,0.0004836976471566,3.0,0.0,0.0
34,0.0,0.0,0.0,2.0,0.0005596824191938,0.0029783693843594,0.0082487393508736,0.0003441011397027,1.5,0.0,0.0
35,0.0,0.0,0.0,1.0,0.0005222542629992,0.0,0.0082794398574427,0.0002904340621999,2.0,0.0,0.0
36,0.0,0.0,0.0,2.0,0.0005878078329534,0.0059456461453133,0.0080102799415837,0.0004217412128174,3.0,0.0,0.0
37,0.2266049535368715,142.28600192830407,5.082447192521827e-05,2.0,0.0005100390286464,0.0,0.0084331542953117,0.0004943587652959,3.0,0.0,0.0
38,0.0,0.0,5.016546077791543e-05,3.0,0.0006035862401019,0.0027842484747642,0.0093294408547509,0.000529414128338,3.0,0.0,0.0
39,0.0,0.0,0.0,3.0,0.0005673923513508,0.0001885745978924,0.0087770721920498,0.0005438982666911,3.0,0.0,0.0
40,0.0,0.0,0.0007560770522068,4.0,0.000625510844077,0.0149029395452024,0.0097449521348827,0.0004841591266063,2.75,0.0,0.0
41,0.0,0.0,0.0,5.0,0.0007308279442977,0.0860066555740432,0.0083446626714723,0.0007650393464303,4.0,0.0001306060628618,0.0
42,0.0,0.0,0.0,4.0,0.0006274414869561,0.0089018302828618,0.0078559817165802,0.0005440334372514,2.75,0.0,0.2777777777777778
43,0.4155959359124166,0.0,0.0,3.0,0.0007169027196643,0.0174431503050471,0.0105658914263577,0.0006099972362771,3.0,0.0,0.0
44,0.0330818462001029,0.0,0.0,3.0,0.0007083020977619,0.0038824181919023,0.010311181128138,0.0006405673448488,4.0,0.0,0.0
45,0.0,0.0,0.0,3.0,0.0006924020162211,0.0048696616749861,0.0103083083298997,0.0005277671403138,3.0,0.0,0.0
46,0.0,0.0,0.0,2.0,0.0006584661587062,8.874098724348308e-05,0.0105290818977291,0.0004517992364021,3.0,0.0,0.0
47,0.2097210140616044,0.0,0.0,5.0,0.0007470644674636,0.0425790349417637,0.0104535417392953,0.000675179263238,2.6,0.0,0.0
48,0.0,0.0,0.0,3.0,0.0006595056505599,0.0280587909040488,0.0088640877880379,0.0005563717804315,3.6666666666666665,0.0,0.0
49,0.0,0.0,0.0,4.0,0.0006478000207633,0.0182029950083194,0.0093914083094725,0.0005573330150815,3.25,0.0,0.0
50,0.0165611153409034,0.0,0.0,1.0,0.0006083131050479,0.0,0.0101553089928135,0.0003842552723006,4.0,0.0,0.0
51,0.0,0.0,0.0,3.0,0.0006869133209497,0.0029839156960621,0.0102693831014418,0.0004635322206316,2.6666666666666665,0.0,0.0
52,0.0016810925438755,0.0,0.0,3.0,0.000709489590569,0.0149251247920133,0.010365297689036,0.0005927410096299,3.0,0.0,0.0
53,0.0,0.0,0.0,3.0,0.0006963550358367,0.0,0.0114429154030515,0.0004272717033946,2.0,0.0,0.5
54,0.3253808321131692,0.0,0.0,3.0,0.0007084871049603,0.0108485856905158,0.0108522965870725,0.0005544985764334,3.0,0.0,0.0
55,0.0242833817182137,78.33875314166193,0.0,1.0,0.0004730923922247,0.0,0.0076385713008585,0.0004733051440177,4.0,0.0,0.0
56,0.0,0.0,0.0,3.0,0.0007123114668725,0.010843039378813,0.0095205790973983,0.0005833589124979,2.6666666666666665,0.0,0.0
57,0.0,0.0,0.0,1.0,0.0006938267133459,0.0,0.0100471498694859,0.0004442054527978,3.0,0.0,0.0
58,0.0,0.0,0.0,3.0,0.0007049471940266,0.0058458125346644,0.0097675947266816,0.0005376494995651,3.333333333333333,0.0,0.0
59,0.2798946037506939,44.91846463438398,0.0001396533363302,3.0,0.0007319906322808,0.016855241264559,0.0099401558153052,0.0006299021345021,3.333333333333333,0.0,0.0
60,0.0,0.0,0.00045641202107,4.0,0.0007244514777334,0.0430005546311702,0.0092541290201235,0.0006352457730427,3.25,0.0,0.0
61,0.0,0.0,0.0002413607197183,3.0,0.00068426414572,0.0163505268996117,0.0091968544207614,0.0005747413311821,3.6666666666666665,0.0,0.0
62,0.0,0.0,0.0,3.0,0.0006252551877681,0.0042595673876871,0.0097201967913753,0.0005393938905871,3.333333333333333,0.0,0.0
63,0.2597431928788347,34.55191522503874,0.0,3.0,0.0007343786786233,0.0361785912368275,0.0100686507627892,0.0006544969367968,4.0,0.0,0.0
