edge_id,edge_length,edge_betweenness,edge_embeddedness,mean_building_dist,mean_poi_dist
0,44.040803621258355,0.008412698412698413,0.0,0.0,225.6401553501812
1,38.98357707071529,0.0,0.0,0.0,247.96587884545204
2,153.67276496181717,0.008492063492063492,0.0,0.0,26.194877196121233
3,260.3185254251586,0.008412698412698413,0.0,0.0,28.730601637531198
4,146.19768949019326,0.016587301587301588,0.0,0.0,4.900426359961883
5,210.73888092760689,0.02011904761904762,0.0,0.0,25.099247957103724
6,165.94102965903198,0.003849206349206349,0.0,0.0,707.1073298408262
7,391.89917942668507,0.016587301587301588,0.0,0.0,20.77684077819925
8,311.4823828680934,0.008174603174603175,0.0,0.0,33.65446881685523
9,97.69070205559514,0.008412698412698413,0.0,0.0,0.0
10,374.3677314693636,0.016746031746031745,0.0,0.0,25.061899873082297
11,173.9324333487895,0.0,0.0,0.0,0.0
12,121.41435114956141,0.0009126984126984128,0.0,0.0,0.0
13,377.8258667951737,0.024484126984126983,0.0,0.0,0.8698250312133505
14,161.0204512573596,0.01619047619047619,0.0,0.0,2.798132445604836
15,125.24653257147766,0.02738095238095238,0.0,0.0,0.0
16,287.1154745544493,0.037182539682539685,0.0,0.0,54.48987574759014
17,168.833042434617,0.012063492063492064,0.0,0.0,22.111083371502815
18,73.54702269365163,0.008412698412698413,0.0,0.0,0.0
19,295.8595504861531,0.008412698412698413,0.0,0.0,0.0
20,461.5184569783877,0.008412698412698413,0.0,0.0,0.0
21,6.402327065301372,0.033174603174603176,0.0,0.0,0.0
22,343.6102751631895,0.040595238095238094,0.0,0.0,0.0
23,103.50145787728313,0.0075,0.0,0.0,0.0
24,104.78662448960957,0.0,1.0,0.0,0.0
25,96.68723573319534,0.049206349206349205,1.0,0.0,0.0
26,220.615583650244,0.018293650793650792,0.0,0.0,30.919677360360154
27,36.7188801727229,0.01646825396825397,0.0,0.0,0.0
28,104.41200015166757,0.014761904761904763,0.0,0.0,0.0
29,339.2403926603571,0.01619047619047619,0.0,32.35369165910919,756.5925431716586
30,85.61555124839158,0.010277777777777778,0.0,0.0,0.0
31,54.89389964491356,0.04321428571428571,0.0,0.0,0.0
32,75.73423429948383,0.014365079365079365,0.0,0.0,0.0
33,348.885079081227,0.008412698412698413,0.0,0.0,612.3859583209426
34,460.4824154798799,0.01634920634920635,0.0,0.0,0.0
35,106.34468458173389,3.968253968253968e-05,0.0,0.0,0.0
36,88.11463004685027,0.13087301587301586,0.0,0.0,0.0
37,277.68118217373393,0.12277777777777778,0.0,0.0,20.517771459712964
38,28.998213993776872,0.024166666666666666,0.0,0.0,42.991391054121
39,30.70815568364977,0.008412698412698413,0.0,0.0,11.040064673122977
40,151.48718719602184,0.018253968253968255,1.0,0.0,0.0
41,173.19877220108086,0.0019047619047619048,1.0,0.0,3.259208680479782
42,46.68851674594386,0.012182539682539682,1.0,0.0,9.32136809476007
43,126.45239363295899,0.0,1.0,0.0,0.0
44,30.812472426484476,0.008373015873015872,0.0,0.0,0.0
45,57.94463823682132,0.013293650793650793,0.0,0.0,0.0
46,53.086152425898696,0.007222222222222222,1.0,0.0,0.0
47,49.758097381566515,0.004603174603174603,0.0,0.0,0.0
48,28.1498402037128,0.010714285714285714,0.0,0.0,0.0
49,90.11145391496532,0.004563492063492064,0.0,0.0,10.753625313682202
50,58.93517845056936,0.008412698412698413,0.0,0.0,43.062211999922816
51,28.97253778121674,0.020753968253968254,0.0,0.0,5.854282868507528
52,27.42229079743751,0.011349206349206348,0.0,0.0,0.0
53,63.88766731447559,0.04218253968253968,0.0,0.0,1.6773091458524994
54,34.04484945732865,0.13035714285714287,0.0,0.0,0.0
55,15.001949299515898,0.029543650793650792,1.0,0.0,0.0
56,4.348264117125511,0.17148809523809525,2.0,0.0,0.0
57,33.005302518173735,0.20063492063492064,0.0,0.0,0.0
58,17.480418780718256,0.19115079365079365,0.0,0.0,0.0
59,10.653685182390387,0.12378968253968253,1.0,0.0,0.0
60,7.872177671972863,0.004404761904761904,0.0,0.0,0.0
61,32.60646381887247,0.07658730158730159,0.0,0.0,0.0
62,119.04317703143363,0.0014285714285714286,0.0,0.0,7.0536588852488284
63,32.40129936752778,0.10559523809523809,0.0,0.0,0.0
64,26.23667225753279,0.10154761904761905,0.0,0.0,0.0
65,78.62969124662962,0.006984126984126984,0.0,0.0,12.403442472410946
66,13.885030238450872,0.015317460317460318,0.0,0.0,0.0
67,235.10894408223365,0.004563492063492064,0.0,0.0,0.0
68,29.96911550808838,0.013928571428571429,0.0,0.0,12.928621266808632
69,106.89745896631138,0.01753968253968254,0.0,0.0,6.49033647218043
70,58.022835596493806,0.0028174603174603175,0.0,0.0,0.0
71,465.7198001153363,0.03222222222222222,0.0,0.0,5.782886824695986
72,105.49808153417099,0.02035714285714286,0.0,0.0,0.0
73,26.597023908763838,0.03781746031746032,0.0,0.0,0.0
74,13.039227117333688,0.05515873015873016,0.0,0.0,0.0
75,37.470960988038904,0.006111111111111111,0.0,0.0,0.0
76,33.432296628998195,0.027103174603174605,0.0,0.0,0.0
77,64.3576187445626,0.0023015873015873015,0.0,0.0,8.68073337033097
78,60.3189543855219,0.12726190476190477,0.0,0.0,0.0
79,46.308130797108305,0.10833333333333334,0.0,0.0,1.8037867568141792
80,62.46872893427168,0.10301587301587302,0.0,0.0,4.025798860943013
81,127.32115453143875,0.12392857142857143,0.0,0.0,0.0
82,81.2851593528795,0.0002777777777777778,0.0,0.0,0.0
83,79.82469499682325,0.00031746031746031746,1.0,0.0,0.0
84,171.75452043508656,0.00015873015873015873,1.0,0.0,0.0
85,47.029466216297244,0.008412698412698413,0.0,0.0,15.24959498737467
86,189.0061372322441,0.03753968253968254,0.0,55.48370771987481,20.27451680090003
87,37.45121262250071,0.017857142857142856,0.0,0.0,0.0
88,45.22199109768362,0.004404761904761904,0.0,0.0,0.0
89,40.64160401847721,0.10904761904761905,0.0,0.0,0.0
90,369.29885353787745,0.008412698412698413,0.0,10.975355499447009,0.0
91,27.346218717550673,0.008412698412698413,0.0,0.0,0.0
92,16.88504077520389,0.025,0.0,0.0,0.0
93,46.23190750722857,0.004007936507936508,0.0,0.0,7.033497457127706
94,36.52921607302109,0.004007936507936508,0.0,0.0,0.0
95,33.50576059333335,0.13813492063492064,0.0,0.0,0.0
