node_id,building_density,mean_centroid_distance,poi_density,degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency
0,0.0,0.0,2.6373164490040342e-05,2.0,0.0005217391738116,0.0,0.0065508535939289,0.0016092121528013,3.5,0.0,0.0
1,0.0,0.0,0.0001837157985451,3.0,0.0006259852407381,0.0064621368969195,0.007363380776558,0.0017073960238511,2.333333333333333,0.0,0.0
2,0.0,0.0,0.0002154208979598,4.0,0.0005083876225037,0.0088148566409435,0.005831578371698,0.001800658391086,2.5,0.0,0.0
3,0.0,0.0,0.0008327084782631,2.0,0.0005037124576599,0.0,0.006321510628091,0.0015592566890602,3.5,0.0,0.0
4,0.1097935489972614,135.0606652461226,2.6639156683743945e-05,3.0,0.0004840364067675,0.0010038270907836,0.0065334193021308,0.0016539431703327,2.6666666666666665,0.0,0.0
5,0.0,0.0,3.7556127598031815e-05,3.0,0.0005851858891477,0.0172846477194303,0.0060600993503333,0.0018995863950796,3.6666666666666665,0.0,0.0
6,0.0,0.0,0.0004661471242481,3.0,0.0004873944931946,0.0079992471296819,0.0060818531102575,0.0017081576979024,3.333333333333333,0.0,0.0
7,0.1033486386193701,156.6762545108554,0.0002186701919862,3.0,0.0005278537810229,0.0011920446703055,0.0066968618635648,0.0017299192713265,3.0,0.0,0.0
8,0.0,0.0,0.0004693279792919,3.0,0.0005334871498801,0.018037518037518,0.0062244483725094,0.00176192955972,3.333333333333333,0.0,0.0
9,0.0,0.0,0.0001927138209291,3.0,0.0005592769728321,0.0014743710395884,0.0064720006805446,0.0018414605374262,3.333333333333333,0.0,0.0
10,0.0,0.0,0.0002985528284695,4.0,0.0005674719521638,0.0285149632975719,0.0059883027358486,0.0019679085019267,3.25,0.0,0.0
11,0.0,0.0,3.0574775253462604e-05,3.0,0.0005651064564578,0.0026977853064809,0.0060711524210077,0.0019362803101385,3.6666666666666665,0.0,0.0
12,0.0116259326879804,305.7550849650661,3.967598803360879e-05,2.0,0.0005224669679736,0.0056465273856578,0.0061488240663436,0.0015823135833179,3.0,0.0,0.0
13,0.0,0.0,5.3621384838814326e-05,3.0,0.0005507129863993,0.0114499027542505,0.005936217765358,0.0017721467818796,3.0,0.0,0.0
14,0.0,0.0,4.7206649626392605e-05,3.0,0.0005126644988881,0.0287659200702678,0.0061037591686951,0.0017218191487667,2.6666666666666665,0.0,0.0
15,0.0,0.0,0.000235185865802,3.0,0.0004680873907117,0.0242800677583286,0.0057739565764865,0.0016880113523216,3.0,0.0,0.0
16,0.0,0.0,9.533717829365391e-06,2.0,0.0004557385354351,0.0,0.0061731973320929,0.0014564725663945,2.5,0.0,0.0
17,0.0,0.0,0.0,2.0,0.0004548173685223,0.0013175230566534,0.0057078850944264,0.0014819747756236,3.0,0.0,0.0
18,0.0,0.0,0.0001777360119159,4.0,0.0005736954821038,0.041439237091411,0.0055785518150104,0.0020683330168859,3.5,0.0,0.0
