degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
2,0.0005217391738116366,0.0,0.006550853593928943,0.001609212152801351,3.5,0.0,0.0,0.0,0
3,0.0006259852407381403,0.006462136896919505,0.007363380776558036,0.0017073960238511985,2.3333333333333335,0.0,0.0,0.0,1
4,0.0005083876225037116,0.008814856640943598,0.005831578371698008,0.0018006583910860035,2.5,0.0,0.0,0.0,2
2,0.0005037124576599502,0.0,0.006321510628091041,0.0015592566890602318,3.5,0.0,0.0,0.0,3
3,0.0004840364067675951,0.0010038270907836125,0.006533419302130841,0.0016539431703327385,2.6666666666666665,0.0,0.0,0.0,4
3,0.0005851858891477163,0.017284647719430328,0.0060600993503333155,0.0018995863950796524,3.6666666666666665,0.0,0.0,0.0,5
3,0.0004873944931946843,0.007999247129681912,0.0060818531102575174,0.0017081576979024724,3.3333333333333335,0.0,0.0,0.0,6
3,0.0005278537810229066,0.0011920446703055398,0.006696861863564817,0.001729919271326586,3.0,0.0,0.0,0.0,7
3,0.0005334871498801484,0.018037518037518036,0.006224448372509401,0.0017619295597200442,3.3333333333333335,0.0,0.0,0.0,8
3,0.0005592769728321308,0.0014743710395884308,0.006472000680544655,0.0018414605374262444,3.3333333333333335,0.0,0.0,0.0,9
4,0.000567471952163806,0.028514963297571992,0.005988302735848666,0.0019679085019267124,3.25,0.0,0.0,0.0,10
3,0.000565106456457877,0.0026977853064809585,0.006071152421007751,0.001936280310138547,3.6666666666666665,0.0,0.0,0.0,11
2,0.0005224669679736917,0.00564652738565782,0.006148824066343602,0.0015823135833179913,3.0,0.0,0.0,0.0,12
3,0.0005507129863993486,0.01144990275425058,0.005936217765358083,0.0017721467818796143,3.0,0.0,0.0,0.0,13
3,0.0005126644988881533,0.028765920070267896,0.006103759168695199,0.0017218191487667163,2.6666666666666665,0.0,0.0,0.0,14
3,0.0004680873907117166,0.024280067758328628,0.005773956576486546,0.0016880113523216693,3.0,0.0,0.0,0.0,15
2,0.0004557385354351601,0.0,0.006173197332092963,0.0014564725663945483,2.5,0.0,0.0,0.0,16
2,0.0004548173685223044,0.0013175230566534915,0.005707885094426456,0.0014819747756236216,3.0,0.0,0.0,0.0,17
4,0.0005736954821038573,0.041439237091411,0.005578551815010416,0.0020683330168859487,3.5,0.0,0.0,0.0,18
4,0.0005969095229549907,0.019825585042976348,0.005814958775771493,0.0020236511260933563,3.25,0.0,0.0,0.0,19
3,0.0006302388589054485,0.011042097998619738,0.006522903872705822,0.0019779681941056284,3.6666666666666665,0.0,0.0,0.0,20
4,0.0004666792993055147,0.021080368906455864,0.005291942664285265,0.0017954352877238616,2.75,0.0,0.0,0.0,21
3,0.0006382746110970857,0.04457619675010979,0.006077130552886173,0.002014504787261841,3.6666666666666665,0.0,0.0,0.0,22
4,0.0006052898668423487,0.027636614593136332,0.005279512348552176,0.0021665534482136197,3.75,0.0,0.0,0.0,23
3,0.0005719151390622204,0.022146935190413452,0.00589539171189463,0.0018458379215054042,3.6666666666666665,0.0,0.0,0.0,24
3,0.0004423253590044575,0.007309116004768179,0.005379700355579711,0.001765697339808698,3.6666666666666665,0.0,0.0,0.0,25
3,0.0005400474657093971,0.027730723382897296,0.005895306064605955,0.0017830339857433084,3.0,0.0,0.0,0.0,26
3,0.0006069979026078812,0.016343559821820692,0.006470543859348468,0.0018272716259636345,3.0,0.0,0.0,0.0,27
4,0.000704501920944745,0.0191668235146496,0.006539685672553372,0.0021429742666769797,3.5,0.0,0.0,0.0,28
2,0.0006398319241286839,0.009034443817052512,0.007667398632697701,0.0016041271884863495,3.0,0.0,0.0,0.0,29
4,0.0005363433213634015,0.01427316644707949,0.005969985488484402,0.0018898654869921355,3.5,0.0,0.0,0.0,30
3,0.0004167790876749889,0.003670242800677583,0.005429295022202193,0.0016952325202317453,3.6666666666666665,0.0,0.0,0.3333333333333333,31
3,0.0006520977728232528,0.020923520923520924,0.006399243385780227,0.0019217236124216147,3.3333333333333335,0.0,0.0,0.0,32
4,0.0007157212618717718,0.051540247192421104,0.006050708492354266,0.0022389652752256156,3.75,0.0,0.0,0.0,33
3,0.0005869312422860717,0.032593010853880416,0.0057982350438874845,0.0019185951240202296,3.3333333333333335,0.0,0.0,0.0,34
3,0.0006747183906602652,0.03513394817742644,0.007333229838390445,0.0017816779305033462,2.3333333333333335,0.0,0.0,0.0,35
4,0.0007682645297160967,0.09448522492000752,0.0059269483049183514,0.0023333539580112665,4.0,0.0,0.0,0.0,36
3,0.0005957289785748854,0.051948051948051945,0.005277808354393836,0.0020755140522834776,3.6666666666666665,0.0,0.0,0.0,37
4,0.0004994379555343935,0.005615157789070832,0.0059909487023613334,0.0018371717024690364,3.75,0.0,0.0,0.0,38
4,0.0003939994273387563,0.0,0.005217112833777985,0.0015541319131628089,2.75,0.0,0.2777777777777778,1.0,39
2,0.0006962580844994821,0.037455298324863544,0.007662809484128315,0.0016812504287914917,3.0,0.0,0.0,0.0,40
4,0.0007667671898487074,0.017284647719430328,0.006706249629548912,0.0022070908414078758,3.5,0.0,0.0,0.0,41
4,0.0007807459880825469,0.06568793525315264,0.006181500614099501,0.002316341645469039,3.75,0.0,0.0,0.0,42
4,0.0004672446949714653,0.004925026664157099,0.00570506257025391,0.0017474562469905746,3.75,0.0,0.0,0.16666666666666666,43
3,0.000741615219427393,0.04623878536922015,0.007582786681908018,0.0018061715727179738,3.0,0.0,0.0,0.0,44
3,0.0005841770266423645,0.053014618232009536,0.005419261988034837,0.0019706287323052714,3.6666666666666665,0.0,0.0,0.0,45
4,0.0007442716881392586,0.1111111111111111,0.005843907784892288,0.0023495687357316924,3.75,0.0,0.0,0.0,46
4,0.0007401766839166093,0.08469791078486731,0.006129481330283794,0.0022712951570783694,3.5,0.0,0.0,0.0,47
4,0.0005470135553250873,0.0300520735303344,0.005524558477904057,0.001986959458105507,3.75,0.0,0.0,0.0,48
3,0.0008156043834476786,0.02082941213375996,0.007235500250029384,0.002144216691271133,3.6666666666666665,0.0,0.0,0.0,49
3,0.0008305964772918394,0.03077357425183512,0.0066801792324977126,0.0021871946151126925,3.6666666666666665,0.0,0.0,0.0,50
4,0.0008442042320711216,0.1284898676203024,0.006059825137610719,0.0024481660426478083,4.0,0.0,0.0,0.0,51
4,0.0006802243051895617,0.024185958968567664,0.006192660383829498,0.0020666752668087487,3.75,0.005108236858150152,0.0,0.16666666666666666,52
4,0.0005087007900427944,0.023558567036827904,0.005577379830352551,0.0019184882163498509,4.0,0.0,0.0,0.0,53
4,0.0007439123272021277,0.04604272539055148,0.00814292646064676,0.0017470772225197716,3.0,0.0025044043461425716,0.0,0.3333333333333333,54
3,0.0008010161619040268,0.021613652048434656,0.0073735164802736786,0.0018796700114729315,3.0,0.0,0.0,0.0,55
3,0.0007823837545849352,0.04724261246000376,0.008979179189290415,0.001747528871742128,3.3333333333333335,0.0029210742029749845,0.0,0.3333333333333333,56
3,0.0007409703031955662,0.0,0.00875569315336516,0.001641250341310215,3.3333333333333335,0.005008808692285143,0.0,0.6666666666666666,57
3,0.0007336859270073748,0.0005019135453918063,0.008267192942716477,0.00163622733680898,3.0,0.0020877344893101587,0.0,0.3333333333333333,58
4,0.0008722976788954101,0.04043541000062739,0.007067572203826284,0.002229747955937494,3.25,0.0,0.0,0.0,59
4,0.0008898695125062387,0.05461446765794592,0.006472502680039957,0.0023716755491355736,3.5,0.0,0.0,0.0,60
4,0.0006224760050590611,0.014179057657318526,0.006205045474504284,0.0019674728174267106,3.75,0.005108236858150152,0.0,0.16666666666666666,61
4,0.0004753484694839658,0.03162055335968379,0.005313729621346411,0.0018114924706564537,3.75,0.0,0.0,0.0,62
2,0.00076639558984491,0.005897484158353723,0.007959526409887544,0.0016030931483314425,3.0,0.0,0.0,0.0,63
4,0.0009737900647797352,0.1533659577137838,0.006461696921275823,0.0025514923143457324,4.0,0.0,0.0,0.0,64
4,0.0008159775251632701,0.028358115314637052,0.0059690998000273155,0.002441104530203528,3.75,0.0,0.0,0.0,65
3,0.0004262441066837766,0.007967877533094924,0.005705067841803772,0.0015644974258845748,3.0,0.0,0.0,0.0,66
3,0.0008104467270845369,0.021990087207478512,0.006276531377041941,0.0022916280761224,4.0,0.0,0.0,0.0,67
3,0.0008911089916220726,0.027573875399962356,0.007873450654461534,0.0021014953838789136,3.3333333333333335,0.0,0.0,0.0,68
4,0.0005736083090617212,0.0271974402409185,0.005841029242741711,0.0018620663662750018,3.75,0.0,0.0,0.0,69
3,0.0004329561594284691,0.017755191668235148,0.005348349186326571,0.0015931019431289092,3.3333333333333335,0.0,0.0,0.0,70
3,0.0009084618794851618,0.05276366145931363,0.007273924708963823,0.0022046123687835682,4.0,0.0,0.0,0.0,71
3,0.0008727512741535057,0.052606813476378696,0.00911093017022871,0.001919826150950744,3.3333333333333335,0.0034581116735656905,0.0,0.3333333333333333,72
3,0.0006497434971921258,0.012736056214317084,0.006012010619131666,0.0019432068365064553,4.0,0.010216473716300304,0.0,0.3333333333333333,77
2,0.0004016125821417879,0.0012547838634795155,0.005416091483259384,0.0014102680328272204,3.0,0.0,0.0,0.0,78
3,0.0008993211777204872,0.01279879540749106,0.008685921809325075,0.0019816662891769614,3.3333333333333335,0.0034581116735656905,0.0,0.3333333333333333,79
5,0.0009289911784819867,0.10496267018006149,0.007936771202928312,0.0023203978307515948,3.2,0.0,0.0,0.0,80
