edge_id,edge_length,edge_betweenness,edge_embeddedness,mean_building_dist,mean_poi_dist
0,24.67908072371443,0.004348527034504996,2.0,366.52338655077915,623.6737224338622
1,84.47493670266996,8.714483035080152e-06,1.0,0.0,0.0
2,25.911537647738125,0.002169906275734958,1.0,0.0,0.0
3,65.11378205110387,0.0,2.0,0.0,0.0
4,255.1767884541551,3.485793214032061e-05,1.0,0.0,0.0
5,59.879394468628924,0.002187335241805118,1.0,0.0,0.0
6,255.17040474930633,0.01721981847731838,1.0,0.0,0.0
7,64.63794994086764,0.002196049724840198,1.0,0.0,0.0
8,20.034250206807187,0.0065097188272048735,2.0,0.0,0.0
9,100.44271667177564,1.3071724552620227e-05,1.0,0.0,0.0
10,41.65285055557632,1.3071724552620227e-05,2.0,0.0,0.0
11,23.105664866444744,0.002196049724840198,0.0,0.0,0.0
12,60.366189191760554,3.9215173657860684e-05,2.0,0.0,0.0
13,60.085184084713944,0.002196049724840198,0.0,0.0,0.0
14,19.68034850759893,0.0021611917926998778,1.0,0.0,0.0
15,188.5784528012646,0.004313669102364675,0.0,0.0,0.0
16,184.63191405412576,0.002196049724840198,0.0,0.0,0.0
17,165.20438667154312,0.027868916746186325,0.0,0.0,0.0
18,137.5848323147846,6.971586428064122e-05,0.0,0.0,0.0
19,131.02279016618306,5.6644139728020985e-05,0.0,0.0,0.0
20,138.333289791566,5.6644139728020985e-05,0.0,0.0,0.0
21,229.71337775622533,0.0001437889700788225,0.0,0.0,0.0
22,60.01963126191979,0.002196049724840198,0.0,0.0,0.0
23,225.62433440655474,0.0043833849666453165,0.0,220.62308924191237,0.0
24,137.3609818696313,0.0018213269543317517,0.0,0.0,0.0
25,79.54104518505072,0.006827797457985299,0.0,0.0,0.0
26,174.3659500869397,0.0030631407868306733,0.0,0.0,0.0
27,96.94219118853027,0.002196049724840198,0.0,0.0,0.0
28,181.78834089902995,5.6644139728020985e-05,0.0,0.0,0.0
29,255.50972706331325,0.0001437889700788225,0.0,0.0,0.0
30,117.17953131585831,5.6644139728020985e-05,0.0,0.0,0.0
31,73.06527572986337,3.9215173657860684e-05,0.0,0.0,0.0
32,155.62095010659948,3.9215173657860684e-05,0.0,0.0,0.0
33,5.88988924934808,9.150207186834159e-05,0.0,0.0,0.0
34,316.63262023605694,0.00019607586828930342,0.0,0.0,0.0
35,84.00129812411868,5.6644139728020985e-05,0.0,0.0,0.0
36,126.07458288535211,0.00021350483435946373,0.0,0.0,8.863076813048325
37,245.96156386605998,5.6644139728020985e-05,0.0,0.0,0.0
38,341.5978741841634,0.0,0.0,30.056559668440308,0.0
39,35.00067829193373,3.485793214032061e-05,1.0,0.0,0.0
40,293.47652583888964,0.0,1.0,0.0,0.0
41,215.53806678988843,2.178620758770038e-05,2.0,0.0,0.0
42,247.18078281762894,0.00017428966070160304,1.0,0.0,0.0
43,10.800156172187588,0.00017428966070160304,1.0,0.0,0.0
44,99.61928806286781,0.0001089310379385019,0.0,0.0,0.0
45,112.88479918482535,3.9215173657860684e-05,0.0,0.0,0.0
46,174.16899937410392,0.00010457379642096182,0.0,0.0,0.0
47,67.36596188432796,9.150207186834159e-05,0.0,0.0,0.0
48,89.01198168549381,0.002196049724840198,0.0,709.1402005519017,609.7833522777836
49,45.515467689067435,0.021568345511823375,0.0,4.4488139696569595,0.0
50,36.585740392976035,0.01732439227373934,0.0,0.0,630.0070939526398
51,254.9085350314778,0.0,0.0,12.96191257114036,0.0
52,156.1740921061394,3.9215173657860684e-05,0.0,437.5935009635825,949.6044383274129
53,111.55656076099427,3.9215173657860684e-05,0.0,0.0,0.0
54,90.72669873809566,0.002196049724840198,0.0,6.441138664415997,0.0
55,11.23205299133939,0.02577744081776709,0.0,0.0,0.0
56,93.1149527730971,0.002196049724840198,0.0,0.0,0.0
57,15.835326802317121,0.027820987089493383,0.0,0.0,0.0
58,29.417446015380538,0.031960366531156456,0.0,0.0,0.0
59,92.13528637989997,0.002196049724840198,0.0,0.0,0.0
60,36.83299077362537,0.042265242720138735,0.0,0.0,0.0
