plot_name,node_id_mean,node_id_std,node_id_min,node_id_max,node_id_nonzero_count,building_density_mean,building_density_std,building_density_min,building_density_max,building_density_nonzero_count,mean_centroid_distance_mean,mean_centroid_distance_std,mean_centroid_distance_min,mean_centroid_distance_max,mean_centroid_distance_nonzero_count,poi_count_mean,poi_count_std,poi_count_min,poi_count_max,poi_count_nonzero_count,poi_density_mean,poi_density_std,poi_density_min,poi_density_max,poi_density_nonzero_count,poi_diversity_mean,poi_diversity_std,poi_diversity_min,poi_diversity_max,poi_diversity_nonzero_count
Beijing_Dashilan,617.5,356.94677474379847,0,1235,1235,0.12450750747944193,0.18119547829275867,0.0,1.0000000000000002,703,13.212878618740053,24.44651414016719,0.0,231.0169950407577,385,0.5380258899676376,1.5172991087996015,0,26,327,0.00014653885863636534,0.00039675848782900493,0.0,0.004902450228124,327,0.0,0.0,0.0,0.0,0
Beijing_Dongsi,577.0,333.5640867959259,0,1154,1154,0.14810834169154355,0.16924310908041204,0.0,1.0157276841077567,761,18.355634282380798,27.581902619712338,0.0,169.9414970707573,451,0.6277056277056277,1.2426258815028648,0,11,368,0.0001850173279396778,0.0004598792594121656,0.0,0.007376617922388,368,0.0,0.0,0.0,0.0,0
Beijing_Huangcheng,873.0,504.45977705528384,0,1746,1746,0.22339866318972412,0.25553604133378954,0.0,1.8208618662251168,1298,16.15550558746245,23.534013282260556,0.0,211.21171701045944,816,0.36290784201488263,1.0611099972246008,0,14,355,0.00018832967688193434,0.0008179888659244919,0.0,0.0137701600276984,355,0.0,0.0,0.0,0.0,0
Changchun_Yiqi,126.5,73.4676799688135,0,253,253,0.051656987885778376,0.09732208085862654,0.0,0.6810159553708548,91,12.969223977220885,37.623826822283355,0.0,305.7550849650661,53,2.0826771653543306,4.770323188033577,0,41,111,0.00012843431300825722,0.0002825354575893958,0.0,0.0025464887625507,111,0.0,0.0,0.0,0.0,0
Chongqing_Ciqikou,112.0,65.09608283145768,0,224,224,0.007773189235988834,0.040246613566548614,0.0,0.4936080454850132,23,5.061774286727496,29.584938531895975,0.0,337.57049262767964,11,3.04,5.653949315048989,0,47,135,0.0003838763407271211,0.0008205069445319757,0.0,0.0055800536454179,135,0.0,0.0,0.0,0.0,0
Fuzhou_Sanfang,340.5,197.02072649004893,0,681,681,0.1521203706885801,0.2747100105758386,0.0,2.0,309,12.447617900485971,23.61708124875072,0.0,138.9943754130929,176,1.1422287390029326,2.7742268339417824,0,20,208,0.00018169206491820252,0.0004679297335332048,0.0,0.0043489403761021,208,0.0,0.0,0.0,0.0,0
Hangzhou_Zhongshan,516.0,298.3457166889893,0,1032,1032,0.29277211678221726,0.20933278624734533,0.0,0.9525037770536396,855,21.454877016357784,27.401579609534142,0.0,400.3238174101372,537,0.818973862536302,2.0958495604718514,0,26,328,0.00019283136494766196,0.00048557283430207,0.0,0.0053553797237856,328,0.0,0.0,0.0,0.0,0
Honghe_Shipin,140.5,81.55059779057416,0,281,281,0.0035471053080791317,0.01599170060878222,0.0,0.1850582686831693,22,3.5781419190151342,20.085855714167206,0.0,242.7914428313664,17,1.975177304964539,3.0352767209468015,0,24,175,0.00016301395464942493,0.0002523859036948561,0.0,0.0015511948457648,175,0.0,0.0,0.0,0.0,0
Huangshan_Tunxi,148.5,86.1694067907321,0,297,297,0.05757163089607459,0.1180792813879817,0.0,0.6568035731935059,105,8.505494325871487,29.114742910676732,0.0,324.4692171549329,49,2.208053691275168,3.4597739709072597,0,21,170,0.0003885098975533796,0.0008023992560225664,0.0,0.0049890425801497,170,0.0,0.0,0.0,0.0,0
Kuche_Resitan,70.0,40.847276531000205,0,140,140,0.015468027971727957,0.0453261731724616,0.0,0.2461524233635345,31,25.383531887607283,104.52800211492558,0.0,743.0653207238616,20,3.4893617021276597,5.116663283927742,0,29,95,0.00013619562102532582,0.00022595857308444728,0.0,0.0013793742375257,95,0.0,0.0,0.0,0.0,0
