edge_id,edge_length,edge_betweenness,edge_embeddedness,mean_building_dist,mean_poi_dist
0,200.42463451787572,0.014649593831749965,0.0,398.26991096502616,509.69164403944353
1,135.12567871603846,0.007352333746385791,0.0,0.0,0.0
2,69.11949877659927,0.021891780256092522,0.0,0.0,0.0
3,129.01530368680392,0.029078893019413465,0.0,0.0,954.1134791288146
4,86.27293265647681,0.03621093212171279,0.0,0.0,0.0
5,207.29207710804982,0.0071595759328101334,0.0,0.0,0.0
6,197.4992863818103,0.0214787277984304,0.0,0.0,0.0
7,37.07008233303397,0.03070356601955115,0.0,0.0,0.0
8,40.77652681903038,0.019578686493184633,0.0,0.0,0.0
9,98.71381031508699,0.020156959933911606,0.0,0.0,0.0
10,20.280648577909243,0.026159988985267797,0.0,0.0,0.0
11,102.27757655509454,0.007352333746385791,0.0,0.0,0.0
12,499.2301543956163,0.008371196475285694,0.0,0.0,0.0
13,95.07716255754222,0.007352333746385791,0.0,0.0,0.0
14,89.0526218802593,0.00019275781357565744,0.0,0.0,0.0
15,191.38599312751066,0.05011703152967093,0.0,0.0,56.640816857058375
16,84.1733368071597,0.04370095002065262,0.0,0.0,22.990438410834013
17,52.75326027591238,0.007352333746385791,0.0,0.0,0.0
18,171.93716734440042,0.0493184634448575,0.0,0.0,79.37647814055329
19,332.45995637455974,0.0058378080682913395,0.0,0.0,12.519080467058311
20,45.55944818361006,0.01900041305245766,0.0,0.0,0.0
21,275.5941669284415,0.01886272889990362,0.0,0.0,0.0
22,125.59473913090311,0.013327825967231172,0.0,0.0,0.0
23,85.82105677889335,0.04042406718986644,0.0,0.0,0.0
24,96.22650287966779,0.010078479966955803,0.0,0.0,0.0
25,34.21167230975713,0.0076827757125154895,0.0,0.0,16.491639368092713
26,203.8558364807351,0.0071595759328101334,0.0,0.0,0.0
27,76.18646424267587,0.04661985405479829,0.0,0.0,0.0
28,98.78137726179531,0.006636376153104777,0.0,0.0,0.0
29,111.60177150896106,0.0007159575932810133,0.0,0.0,0.0
30,54.695968118390596,0.035384827206388546,0.0,0.0,0.0
31,101.88510290178554,0.02728899903621093,0.0,0.0,0.0
32,243.26460041178228,0.02208453806966818,0.0,0.0,0.0
33,85.1014742885131,0.06358254164945615,0.0,0.0,0.0
34,118.79927073464759,0.020955528018725043,0.0,0.0,0.0
35,221.25722983428807,0.048437284868511635,0.0,0.0,0.0
36,455.3401796465463,0.004984166322456286,0.0,0.0,11.088513636808049
37,82.08559157892276,0.02593969434118133,0.0,0.0,0.0
38,80.44803768391132,0.04229657166460141,0.0,0.0,14.841076391135287
39,236.536059980081,0.014539446509706733,0.0,0.0,0.0
40,134.74847504643725,0.057717196750653996,0.0,0.0,0.0
41,8.97607433305306,0.10356601955114966,0.0,0.0,0.0
42,252.1226293651747,0.019881591628803524,0.0,0.0,23.452102705282556
43,306.5144673856995,0.01751342420487402,0.0,0.0,0.0
44,209.62651672471702,0.01935839184909817,0.0,0.0,0.0
45,69.22994210912566,0.06063610078479967,0.0,0.0,0.0
46,24.677940669114818,0.02761944100234063,0.0,0.0,0.0
47,348.470948208224,0.00751755472945064,0.0,0.0,0.0
48,218.9288142871489,0.010711827068704391,0.0,0.0,0.0
49,303.0170317498956,0.007352333746385791,0.0,0.0,42.79692989279018
50,94.14994390799215,0.11425030978934324,0.0,0.0,0.0
51,78.91508021467806,0.01104226903483409,0.0,0.0,0.0
52,43.50085786827202,0.025141126256367892,0.0,0.0,11.302441870621744
53,333.1237781367171,0.004818945339391436,0.0,0.0,0.0
54,301.0318291078305,0.03370508054522924,0.0,0.0,26.882795194719392
55,32.963107870432786,0.09282665565193446,0.0,0.0,12.174343457274006
56,15.354289153635072,0.046096654275092935,0.0,0.0,0.0
57,89.7881871705549,0.002533388406994355,0.0,0.0,0.0
58,372.1135382994894,0.006250860525953463,0.0,0.0,14.252058530525467
59,154.6029672637725,0.006829133966680435,0.0,0.0,0.0
60,131.3036269685175,0.07192620129423104,0.0,0.0,8.666747011923878
61,118.67055495583686,0.04909816880077103,0.0,0.0,27.10492282745484
62,229.13611253343055,0.015255404102987745,0.0,0.0,11.100849085377948
63,248.36862788697334,0.04992427371609528,1.0,0.0,15.643264039024722
64,85.43217543010078,0.09973840011014731,1.0,0.0,18.780023648960103
65,31.198973693613787,0.04912570563128184,0.0,0.0,8.036731698810588
66,283.25413392339755,0.02996007159575933,0.0,0.0,33.46830259303681
67,82.09760416588468,0.010546606085639542,0.0,0.0,0.0
68,224.39167785824884,0.0030565881866997107,0.0,0.0,0.0
69,243.1718740106537,0.00980311166184772,0.0,0.0,0.0
70,236.35307297957522,0.04909816880077103,0.0,0.0,28.466224120202533
71,278.04026157294817,0.007352333746385791,0.0,3.495175815456359,37.51917560729557
72,85.0267678773923,0.007352333746385791,0.0,0.0,12.057964147187244
73,209.5382396465804,0.0007159575932810133,0.0,0.0,0.0
74,118.83442090848978,0.013933636238468952,0.0,0.0,11.024287711330837
75,24.657445941483243,0.0214787277984304,0.0,0.0,0.0
76,58.11976185491278,0.01319014181467713,0.0,0.0,0.0
77,449.63415922464213,0.0,1.0,0.0,14.026401777921688
78,199.65002752908492,0.0960209279911882,0.0,0.0,18.1521880529935
79,302.06974307323287,0.10268484097480379,0.0,0.0,16.3487770888919
80,61.84502645716103,0.038138510257469366,1.0,0.0,23.656910772518437
81,76.46264101345302,0.11303868924686768,0.0,0.0,0.0
82,124.41218672154325,0.07203634861627427,1.0,0.0,13.885812571778615
83,114.84558189700537,0.010821974390747625,0.0,0.0,0.0
84,197.32734238450107,0.0018174308137133416,0.0,0.0,0.0
85,48.137758809030046,0.01902794988296847,0.0,0.0,0.0
86,110.32877645172357,0.02896874569737023,0.0,0.0,0.0
87,119.80191504480666,0.03494423791821561,0.0,0.0,20.990362025574115
88,236.4580593408101,0.0,1.0,0.0,20.375621718490738
89,93.89729909241285,0.02117582266281151,1.0,0.0,9.175150654409013
90,180.66652022589238,0.040589288172931295,0.0,0.0,0.0
91,278.1644259724094,0.025499105053008397,0.0,0.0,0.0
92,259.6576419138587,0.00644361833952912,0.0,0.0,0.0
93,137.13964665478335,0.0016522098306484922,0.0,0.0,0.0
94,80.34574354718676,0.011868373950158337,0.0,0.0,0.0
95,137.7464671748352,0.016274266831887648,1.0,0.0,6.6140818956915854
96,222.73492315075973,0.007352333746385791,0.0,0.0,0.0
97,218.9247096483486,0.014649593831749965,0.0,0.0,0.0
98,125.35999946940032,0.023709211069805863,0.0,0.0,0.0
99,302.96914354384666,0.0057827344072697235,0.0,0.0,0.0
100,128.1431912671101,0.012777089357015008,0.0,0.0,0.0
101,152.0504322094824,0.007352333746385791,0.0,0.0,66.33082386857227
102,176.91758502796404,0.039790720088117855,0.0,10.882423566267294,33.708733847300444
103,148.90576364701286,0.02973977695167286,0.0,0.0,36.177914477815634
104,277.0900272006953,0.002285556932397081,0.0,0.0,44.676249073846805
105,869.2985251760016,0.0038551562715131485,0.0,0.0,3.870163595870177
106,316.3932905120784,0.0077378493735371055,0.0,0.0,0.0
107,219.41087156889193,0.16728624535315983,0.0,0.0,13.812414359850933
108,7.6573040215046975,0.20468126118683738,0.0,0.0,0.0
109,464.87449424797006,0.09032080407545091,0.0,0.0,18.029406193624535
110,52.59271639818872,0.002423241084951122,0.0,0.0,0.0
111,177.3649145799335,0.05419248244527055,0.0,0.0,0.0
112,21.709321344232507,0.012997384001101472,0.0,0.0,0.0
113,249.8019778589637,0.007352333746385791,0.0,0.0,0.0
114,44.04317237224917,0.15517003992840422,0.0,0.0,0.0
115,142.81387575736255,0.007352333746385791,0.0,0.0,0.0
116,47.253611101895615,0.015420625086052594,0.0,0.0,0.0
117,83.76593161339562,0.062095552801872504,1.0,0.0,0.0
118,26.623631681587234,0.06895222359906375,0.0,0.0,25.549600967911783
119,168.87078593492632,0.00784799669558034,0.0,0.0,0.0
120,101.92873005140314,0.010161090458488228,0.0,0.0,0.0
121,35.47024889471599,0.005700123915737298,0.0,0.0,0.0
122,99.18752312356474,0.005534902932672449,0.0,0.0,0.0
123,230.11560988534774,0.09125705631281839,0.0,2.411145730931564,21.147272027446373
124,87.11450421464009,0.007352333746385791,0.0,0.0,0.0
125,51.05334862066323,0.0007159575932810133,0.0,0.0,10.271007064056619
126,88.76416095076779,0.013933636238468952,0.0,0.0,21.91589950425371
127,185.3291234961598,0.010408921933085501,0.0,0.0,22.180571352966226
128,169.57195112418088,0.011923447611179952,0.0,0.0,0.0
129,265.13116798418105,0.04890541098719537,0.0,0.0,36.8229467594235
130,33.91032943271519,0.01520033044196613,0.0,0.0,0.0
131,186.81509212088238,0.10642984992427372,0.0,0.0,24.18420512730694
132,273.4916583036131,0.007352333746385791,0.0,0.0,20.67808874326658
133,173.37718995011284,0.004984166322456286,1.0,0.0,72.78255311321914
134,749.0699843430432,0.0,1.0,0.0,639.3352809686181
135,80.59887826968267,0.007352333746385791,0.0,0.0,17.120417727160845
136,50.03791904212565,0.0020927991188214234,0.0,0.0,0.0
137,80.77011199779851,0.024810684290238194,0.0,0.0,0.0
138,95.11919031248694,0.03904722566432604,0.0,0.0,10.285139920813558
139,22.973959598491412,0.06966818119234476,0.0,0.0,0.0
140,237.6243835115309,0.015420625086052594,0.0,0.0,0.0
141,152.36213941941156,0.012364036899352884,0.0,0.0,0.0
142,61.53312268897851,0.007352333746385791,0.0,0.0,0.0
143,243.78732216272164,0.07137546468401487,0.0,0.0,34.912380512831
144,201.363876439709,0.0718160539721878,0.0,0.0,15.348561944562704
145,46.11613623307086,0.09662673826242599,0.0,0.0,0.0
146,4.505563680550683,0.007352333746385791,0.0,0.0,0.0
