node_id,building_density,mean_centroid_distance,poi_count,poi_density,poi_diversity
69,0.20941327137547636,50.44734801360637,1,4.7627182741438955e-05,0.0
68,0.5001614605486839,11.973783408293139,0,0.0,0.0
57,0.2985019741643205,0.0,0,0.0,0.0
54,0.23055670978592796,124.69661948177999,0,0.0,0.0
38,0.4844797238058851,22.953662814858063,0,0.0,0.0
146,0.3777596520852165,0.0,0,0.0,0.0
147,0.49526756746612827,25.61259926827547,0,0.0,0.0
56,0.5945755148760605,29.13128609842508,0,0.0,0.0
132,0.6080091380023146,22.365082660181343,0,0.0,0.0
129,0.6392520546245944,19.342782286869483,0,0.0,0.0
101,0.42390842793850453,36.63105918668248,0,0.0,0.0
128,0.4037199242305702,0.0,0,0.0,0.0
362,0.08081373438126063,15.187841462265107,0,0.0,0.0
153,0.5813251853589896,0.0,0,0.0,0.0
188,0.5314884685026019,78.51251061342292,0,0.0,0.0
159,0.46182469105008517,36.12406038932427,0,0.0,0.0
247,0.8117796317934611,33.483611618461275,0,0.0,0.0
160,0.6951309069155037,19.00630804449525,0,0.0,0.0
178,0.5259777100176136,38.65131484685145,1,0.00023052253360253237,0.0
174,0.3715643982040626,0.0,0,0.0,0.0
154,0.6768638549386242,20.027217734400256,0,0.0,0.0
133,0.534195914199396,33.647738852936925,0,0.0,0.0
260,0.3957531039317483,54.39231153444268,0,0.0,0.0
259,0.6189864779456649,17.184181053535532,0,0.0,0.0
271,0.7025301181821135,15.643052283508588,0,0.0,0.0
292,0.5844583618838778,13.358311958507588,0,0.0,0.0
206,0.4155032426057327,35.25936365254782,3,0.0010402888674970342,0.0
246,0.20330786357415062,0.0,0,0.0,0.0
347,0.23017055280429688,16.295336587919138,0,0.0,0.0
36,0.37437240592584287,54.048072219880346,4,0.00024889454634732897,0.0
37,0.47094488464779755,42.9254256979558,0,0.0,0.0
45,0.03728162906452959,0.0,0,0.0,0.0
61,0.3138702422720915,95.71471516703272,0,0.0,0.0
149,0.22774526229918446,39.0401659963972,1,0.00020979755071183788,0.0
71,0.0,0.0,0,0.0,0.0
134,0.19676859722491516,23.877985596463564,0,0.0,0.0
48,0.4444684084182642,66.60645947189361,0,0.0,0.0
44,0.563513679834941,110.29185355935039,2,0.00017357611929600696,0.0
100,0.17179473699150605,31.239500315451576,0,0.0,0.0
70,0.92625139897318,45.102532835295634,0,0.0,0.0
126,0.23337241553040236,61.27326532322004,0,0.0,0.0
89,0.362510550110365,52.2969212233259,1,0.00023568415409111015,0.0
88,0.0,0.0,0,0.0,0.0
53,0.27612480937319206,48.54346168703287,2,0.00014339235136045107,0.0
166,0.054832008476520845,53.68857081121177,0,0.0,0.0
135,0.27043102962329685,38.72977324681579,1,0.00016844156979025732,0.0
248,0.0,0.0,1,0.0001780126415519165,0.0
127,0.0,0.0,0,0.0,0.0
198,0.0,0.0,0,0.0,0.0
319,0.0,0.0,0,0.0,0.0
351,0.46605732465352695,0.0,0,0.0,0.0
312,0.0,0.0,0,0.0,0.0
186,0.0,0.0,0,0.0,0.0
324,0.0,0.0,0,0.0,0.0
310,0.0,0.0,0,0.0,0.0
318,0.0,0.0,0,0.0,0.0
305,0.04414532692576096,0.0,0,0.0,0.0
29,0.39830942634004546,0.0,1,0.0002359218480009516,0.0
62,0.0,0.0,0,0.0,0.0
594,0.09830121201227533,58.25140833151585,0,0.0,0.0
407,0.00996011656949064,0.0,0,0.0,0.0
416,0.02267795597367576,0.0,0,0.0,0.0
446,0.0,0.0,0,0.0,0.0
480,0.0,0.0,0,0.0,0.0
441,0.3875008079698971,8.905795478173246,0,0.0,0.0
449,0.600620115449057,8.604469252933963,0,0.0,0.0
399,0.4979649084863789,0.0,0,0.0,0.0
348,0.42635821386889017,18.448389736796358,0,0.0,0.0
400,0.21737060671767075,13.643661691715227,0,0.0,0.0
363,0.30097692369173923,0.0,0,0.0,0.0
415,0.3351870447467858,0.0,0,0.0,0.0
442,0.3187589653485827,0.0,0,0.0,0.0
191,0.0791419428511601,0.0,1,0.00012698320178175615,0.0
451,0.718348087316348,9.369723284255333,0,0.0,0.0
409,0.5509997204513817,24.302636247674805,0,0.0,0.0
293,0.2347216072681303,60.21925347776754,1,8.02496185302014e-05,0.0
510,0.14639135182020657,69.83433205581485,1,6.010686391883322e-05,0.0
445,0.12363457263239036,0.0,0,0.0,0.0
460,0.6294225430867229,11.889761362424892,0,0.0,0.0
481,0.0529812259750594,0.0,0,0.0,0.0
472,0.06855202319827237,0.0,0,0.0,0.0
452,0.47611235498469795,11.566787211373695,0,0.0,0.0
440,0.44279036598286875,13.38654979732071,0,0.0,0.0
490,0.6006985868436348,9.866411383341934,0,0.0,0.0
314,0.10987942831435685,20.105160967038373,0,0.0,0.0
423,0.6692819383434409,9.510203560687726,0,0.0,0.0
487,0.4664691925556315,28.10040356409283,0,0.0,0.0
430,0.6575149891166792,13.659506445283814,0,0.0,0.0
514,0.45496828253640825,21.78389487796365,0,0.0,0.0
509,0.1773061476474938,42.456364899463516,1,0.0001857468642361347,0.0
537,0.03221725539803355,0.0,0,0.0,0.0
642,0.0,0.0,0,0.0,0.0
585,0.47620946222831007,46.90642123653783,0,0.0,0.0
412,0.015166119445062961,0.0,0,0.0,0.0
439,0.6213535200945565,0.0,0,0.0,0.0
420,0.9552365311785959,0.0,0,0.0,0.0
427,0.2755397814909149,0.0,0,0.0,0.0
346,0.0,0.0,0,0.0,0.0
217,0.1577786212518448,0.0,0,0.0,0.0
413,0.6855466653780897,13.64659113490781,0,0.0,0.0
