degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
2,0.000727019024796512,0.0,0.013141640352072829,0.0002606205868670605,3.0,0.0,0.0,0.0,0
2,0.0007485110415722917,0.0003522743399029993,0.013739863320967405,0.0002548648818970489,2.5,0.0,0.0,0.0,1
4,0.0007961338600159705,0.056011620044576896,0.013536412352835847,0.0003042121883256143,3.75,0.0,0.0,0.0,2
1,0.0006838677839112415,0.0,0.014200441196755295,0.000157977562088116,3.0,0.0,0.0,0.0,3
3,0.000695323041776239,0.0016812334610536508,0.013683721696796769,0.00018786353252118476,2.0,0.0,0.0,0.0,4
2,0.0006954467001240186,0.0,0.014439377201067385,0.00017937982738808002,2.5,0.0,0.0,0.0,5
3,0.0007395114881524542,0.00670823837786849,0.013753981779175214,0.0002187818598532181,3.6666666666666665,0.0,0.0,0.0,6
2,0.0007527079623629751,0.0023991385139365403,0.013777155057049736,0.0002605934466572594,3.5,0.0,0.0,0.0,7
3,0.0007746369140328602,0.004693095589892565,0.013377941172384182,0.00028203758691138013,2.6666666666666665,0.0,0.0,0.0,8
4,0.0007639724039846739,0.0039735209903750636,0.013531328413504943,0.000271061925815858,2.0,0.0,0.0,0.0,9
3,0.0008494993015526282,0.015189535281694255,0.01425700706084616,0.00028650280515589465,3.6666666666666665,0.0,0.0,0.0,12
2,0.0007730284654431671,0.0031370781264347665,0.014481490759641558,0.00025380244521395936,3.5,0.0,0.0,0.0,13
1,0.0007434415663207398,0.0,0.013974496725348154,0.00021293839731509218,4.0,0.0,0.0,0.0,14
4,0.0007947066931437881,0.005108812701910796,0.014234987010349228,0.0002823877361715483,3.75,0.0,0.0,0.16666666666666666,15
4,0.0007875919977307752,0.0,0.014943593572543256,0.00025253865356490815,2.75,0.0,0.2777777777777778,1.0,16
3,0.000814674866933043,0.009202541049977878,0.015303813911361203,0.0002655852370751039,4.333333333333333,0.0,0.0,0.3333333333333333,17
3,0.0007549697275778059,0.0020301687076874275,0.013234372696714722,0.00028191758071473034,3.0,0.0,0.0,0.0,18
4,0.0008657599349290824,0.029631113671082617,0.013356168556329373,0.0003136227210929765,3.25,0.0,0.0,0.0,19
2,0.0007965871233836285,0.0,0.012533697032405505,0.0002802233234526897,3.5,0.0,0.0,0.0,20
3,0.0008214220039366685,0.010130808978821801,0.012859832854082856,0.0002969478435341879,3.0,0.0,0.0,0.0,21
1,0.0005527067730104002,0.0,0.011383380532335488,0.0001839284095860721,3.0,0.0,0.0,0.0,22
3,0.0005833864945077492,0.0024926331254747774,0.01138214114538285,0.00022573883252542814,2.3333333333333335,0.0,0.0,0.0,23
4,0.000810913286278602,0.057500855642650235,0.01375187189271905,0.00030384269528105313,3.25,0.0,0.0,0.0,24
3,0.0007789266512282639,0.004474384980758475,0.014534902218550251,0.0002714919104879351,3.0,0.0,0.0,0.0,25
3,0.0008223074130298573,0.012696902156219478,0.01450162702838457,0.00027827627819316863,3.0,0.0,0.0,0.0,26
3,0.0005973804246034903,0.002701326454801199,0.01203242999333109,0.00023685504755530058,3.0,0.0,0.0,0.0,27
3,0.0006294054523880892,0.0026829614418204736,0.011604402857500803,0.00024845085710606987,3.3333333333333335,0.0,0.0,0.0,28
5,0.0008196308320421273,0.013209452973045169,0.01466995149923473,0.00028456592738710366,3.8,0.00014368430663610845,0.0,0.1,31
4,0.0008167067400417057,0.009659996827861395,0.015792622408669448,0.0002742363208457167,3.75,0.0004743353556913756,0.0,0.16666666666666666,32
2,0.0007411817038187236,0.0,0.013145236809118799,0.00019306339197084477,3.0,0.005418085543822112,0.0,1.0,33
3,0.0007576547373480809,0.0033607973754726903,0.013436577973229068,0.0001930882441517552,2.0,0.0018060285146073707,0.0,0.3333333333333333,34
3,0.0007747623546255208,0.005033683103353284,0.012901679967524225,0.0002217469020464862,2.6666666666666665,0.0018060285146073707,0.0,0.3333333333333333,35
2,0.0006319683453998104,0.0,0.010348097274192539,0.00025578506130647126,4.5,0.0,0.0,1.0,36
4,0.0006641095997791239,0.008270934027864734,0.010163697726695717,0.00030185475967991435,3.25,0.0,0.0,0.0,37
5,0.0006175727131307553,0.010037314367283563,0.010653470282282397,0.0002521819273739222,2.6,0.0,0.1875,0.6666666666666666,38
2,0.0007174342081047606,0.0016778943677844282,0.014120408293341642,0.00018782824644330074,2.5,0.0,0.0,0.0,39
3,0.0008184197223009925,0.0,0.01536975168738851,0.0002666425054138064,5.0,0.0014276184001697795,0.0,0.6666666666666666,40
6,0.0008216802315069743,0.006805906855993255,0.015235284568166823,0.00027912387148346215,3.1666666666666665,0.00028552368003395583,0.0,0.13333333333333333,41
3,0.0008283760447466769,0.010162530364879416,0.015766521117042638,0.00026734853302589506,3.3333333333333335,0.0,0.0,0.0,42
5,0.0007633469170092707,0.024854540749459485,0.011254672287283277,0.0003236231178556757,3.4,0.0011978697024240465,0.0,0.2,43
2,0.0006789831811024525,0.0,0.010233272576876052,0.0002907036743704631,4.5,0.0,0.0,0.0,44
4,0.0006702018958822098,0.008967134974497675,0.009829352750576528,0.00031939274877437995,3.5,0.0015955065150519189,0.0,0.16666666666666666,45
3,0.000641670110150507,0.0004190562052874542,0.012237141287162613,0.00024232272031709406,3.0,0.0,0.0,0.0,46
4,0.0006324506011134967,0.004377551275951016,0.010981006845849082,0.0002832683882861729,3.75,0.0,0.0,0.0,47
4,0.0006787996269152131,0.0025026504052824456,0.011778432567528445,0.0002827107575444269,4.25,0.0,0.0,0.0,50
5,0.0006874506344173684,0.016561902615344803,0.011224729146444531,0.00030619752872334166,4.0,0.0,0.0,0.0,51
3,0.0006618459159127209,0.0038850350187406607,0.012159714689286966,0.00026091573715612305,3.3333333333333335,0.0,0.0,0.0,52
1,0.000578737020234189,0.0,0.012482067138105249,0.00012544861652442592,3.0,0.0,0.0,0.0,53
3,0.0005831809296968974,0.0033607973754726903,0.011945025845864097,0.0001435875683575969,1.6666666666666667,0.0,0.0,0.0,54
3,0.0008307113362488333,0.011047390081223444,0.014028530751730248,0.00028407136364111467,3.6666666666666665,0.0,0.0,0.0,55
1,0.0005729134047298511,0.0,0.012356464736374941,0.00012544861652442592,3.0,0.0,0.0,0.0,56
3,0.0005897851914328872,0.006709907924503101,0.01144278664286508,0.0001677460786465858,2.0,0.0,0.0,0.0,57
4,0.0008344972308950739,0.012034092142278765,0.01500438281572567,0.00028249901756867906,3.0,0.0,0.0,0.0,58
2,0.0008290942728658359,0.010346180494686668,0.016020544022985226,0.00024094874524194958,3.0,0.0,0.0,0.0,59
3,0.0007798686487423459,0.00017697194326880535,0.010287170419741191,0.00033722644170658774,3.6666666666666665,0.0,0.0,0.0,60
2,0.0006006610369881481,0.0,0.008195137075475168,0.00030585931427706294,3.0,0.0,0.0,0.0,61
3,0.0007954660796427239,0.0023039743557636922,0.011034705607118696,0.0003177942843559867,3.0,0.0,0.0,0.0,62
3,0.0008320362039205818,0.04792433614651941,0.013688647402635564,0.000293082375388677,3.3333333333333335,0.0,0.0,0.0,65
1,0.0007427954394630841,0.0,0.013979161993222376,0.0001616558943795991,3.0,0.0,0.0,0.0,66
3,0.0008324932011630112,0.012039100782182599,0.015826042626275995,0.0002408606818961428,2.0,0.0,0.0,0.0,67
1,0.000579386424263671,0.0,0.011869802333466555,0.00014350514613767408,3.0,0.0,0.0,0.0,68
2,0.0005966567465701604,0.008372776372576027,0.010933739108908014,0.00020151575242396765,4.0,0.0,0.0,1.0,69
3,0.0006323167374461117,0.00036396116634527896,0.012156211238499543,0.00023390017401864785,3.6666666666666665,0.0009767332374358067,0.3333333333333333,0.6666666666666666,72
3,0.0007190377972363132,0.01754192648986168,0.01345456126227132,0.00025692062288280415,2.6666666666666665,0.0,0.0,0.0,73
1,0.0008209247597611291,0.0,0.016497015419123226,0.0001938443686690524,3.0,0.0,0.0,0.0,75
3,0.0008387398798385498,0.019605486130241333,0.015061684368736597,0.0002668810285267548,3.0,0.0,0.0,0.0,76
1,0.0008207060988542963,0.0,0.01439732339250235,0.00021614276296613234,4.0,0.0,0.0,0.0,77
4,0.0008618918159345363,0.02449892731628726,0.0141844757452722,0.00027627577804301563,2.25,0.0,0.0,0.0,78
3,0.000832635304536387,0.009409564832669689,0.014056534913047742,0.00026996194618924684,3.3333333333333335,0.0,0.0,0.0,79
3,0.0008415526824128352,0.007883599208634896,0.014886369434790606,0.0002770074104521819,3.3333333333333335,0.0,0.0,0.0,80
3,0.0008518865784291536,0.0221699097610044,0.014431110258142218,0.00027797959030274253,3.3333333333333335,0.0,0.0,0.0,81
6,0.0007642903702207298,0.05024667551526383,0.013391994851420418,0.0002799737940349839,2.3333333333333335,0.0,0.0,0.0,82
3,0.0008190590274813765,0.01206414398170177,0.012755754653954909,0.00028501023994316813,3.0,0.0,0.0,0.0,83
3,0.0008299070482219245,0.009354469793727513,0.01553539594281289,0.00026722006563139006,4.333333333333333,0.0,0.0,0.0,84
2,0.0008079627746407261,0.0,0.015851672465520075,0.0002443055199304453,4.5,0.0,0.0,0.0,85
2,0.0008018565808651505,0.0,0.0157249599446427,0.0002454480463629629,4.5,0.0,0.0,0.0,86
3,0.0008555215016577217,0.004092058801432471,0.014263112171631141,0.00028442065964203654,3.0,0.0,0.0,0.0,87
4,0.000747993680135983,0.020300017530239665,0.010441462882247102,0.0003300644650728429,3.75,0.0015955065150519187,0.0,0.16666666666666666,88
4,0.0007501083082864966,0.028545908358585226,0.010808885580197828,0.00032408876544107873,4.0,0.0015955065150519189,0.0,0.16666666666666666,89
1,0.000807528912777371,0.0,0.014166161214449188,0.00021614276296613228,4.0,0.0,0.0,0.0,90
4,0.0008754556719349928,0.03366473834030369,0.013492537146237691,0.0003193716160795529,3.25,0.0,0.0,0.0,91
3,0.0006592956576196132,0.013793794295159149,0.01233454094901773,0.0002556459453536876,3.0,0.0,0.0,0.0,92
2,0.0007287367555952217,0.01881245147880093,0.013526883401850128,0.0002505498010099448,4.5,0.0,0.0,0.0,93
3,0.0008235637404169078,0.0026011536567245165,0.01629798473026981,0.00025383679289301065,2.6666666666666665,0.0,0.0,0.0,94
1,0.0007246045217366565,0.0,0.013482978169853568,0.00021839960487924417,6.0,0.0,0.0,0.0,95
4,0.0007478094915742584,0.0,0.01119724865574054,0.0002925750187175623,3.25,0.0,0.2777777777777778,1.0,96
4,0.0008143290875536347,0.030799796315310577,0.012129208730346975,0.0003253119313999858,3.5,0.0,0.0,0.16666666666666666,97
3,0.0008223584327266151,0.0015443306370155185,0.015834554259073683,0.00025218326509980925,2.3333333333333335,0.0,0.0,0.0,98
3,0.0008431624664192913,0.008299316320653127,0.014719481970536382,0.0002622443074418325,3.0,0.0,0.0,0.0,99
3,0.0006875412859928377,0.0013690282403813244,0.010397080657253272,0.0002985835838327532,3.6666666666666665,0.0,0.0,0.0,100
4,0.0006479430040060391,0.01929662000283823,0.010483982118302197,0.0002863337652404815,4.0,0.0,0.0,0.16666666666666666,101
1,0.0006471465373570107,0.0,0.012041689465266688,0.00021839960487924414,6.0,0.0,0.0,0.0,102
3,0.0006829032105964545,0.02201130283071632,0.012063064772249289,0.00027427776361773503,4.333333333333333,0.0,0.0,0.0,103
3,0.000599914714928461,0.003587855717779837,0.011451178200133189,0.00024668885959652727,3.0,0.0,0.0,0.0,104
4,0.0008502496273856933,0.02196288597831259,0.013466917494555313,0.00030511719639462245,3.25,0.0,0.0,0.0,105
1,0.000817278487924905,0.0,0.014684218032524524,0.00021225898465537292,3.0,0.0,0.0,0.0,106
3,0.000872513804187399,0.006152279348542903,0.01325255541388912,0.00031055335392913733,3.3333333333333335,0.0,0.0,0.0,107
3,0.000626720669566745,0.0065262577946958505,0.011573814746016825,0.0002528277659232641,2.6666666666666665,0.0,0.0,0.0,108
3,0.0006442067673603141,0.0012605077091315854,0.011869659190963782,0.0002529270185536148,3.3333333333333335,0.0,0.0,0.0,109
4,0.0008502278938530368,0.010928852270166036,0.013965946088167916,0.0002787424582978306,2.5,0.0,0.0,0.0,110
1,0.0008200523966017604,0.0,0.015205985628703733,0.00020745862903599527,3.0,0.0,0.0,0.0,111
3,0.0008271680335128087,0.031634569632616266,0.012409584222069014,0.00031387835737388116,3.6666666666666665,0.0,0.0,0.0,112
2,0.0008257084409213916,0.002275592062975299,0.01505369555077098,0.00024652250472206053,3.5,0.0,0.0,0.0,113
